#swprepost v1.1.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
1.6969666519371591,254.54499779057392,12.727249889528695
2.0848078884576355,249.15514849977882,12.457757424988941
2.541598084324686,242.00440085370624,12.100220042685315
3.0724324263191454,233.0833730347616,11.65416865173808
3.6873379297991815,222.87146107720102,11.143573053860052
4.403976023726122,212.0796658147084,10.603983290735421
5.2439008104309295,201.1968226170506,10.05984113085253
6.22652545818498,190.33777261484445,9.516888630742224
7.364882271985069,179.3732135341578,8.968660676707893
8.661820845056067,168.07903333429795,8.403951666714898
10.131344748107066,156.63326600599103,7.831663300299552
11.830117129297486,145.71978424941088,7.285989212470544
13.896274437855892,136.37677698843694,6.818838849421848
16.511996905356046,129.1083121903511,6.455415609517556
19.8713523103554,123.79257407489361,6.189628703744681
24.14870497737228,119.85980895205434,5.992990447602717
29.547313505796577,116.84504511476409,5.842252255738205
36.37881951396379,114.61816933144567,5.730908466572285
45.08480723787809,113.1742558944595,5.658712794722978
56.197664784949914,112.39532956989983,5.619766478494991
