#swprepost v1.1.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
2.755966551981015,413.39498279715235,20.66974913985762
3.0581511572938114,365.4792894581823,18.273964472909114
3.3837195971221448,322.18903484736757,16.109451742368375
3.7523258491195866,284.66200204966543,14.233100102483268
4.184642231092418,252.92971403348392,12.646485701674196
4.703293659712709,226.49372798727566,11.324686399363783
5.330321749405495,204.5126020258979,10.225630101294895
6.0933502725972435,186.26675927641554,9.313337963820775
7.029959586119806,171.21610304270237,8.560805152135117
8.163593840365802,158.41114538933084,7.920557269466541
9.469684168887731,146.40381867325627,7.320190933662815
11.007380577248066,135.58556566573864,6.779278283286932
12.917254140876445,126.7687605876814,6.33843802938407
15.392466752921626,120.35463755877889,6.017731877938944
18.649856892297404,116.18302341822854,5.809151170911428
22.92514347424299,113.78677736946703,5.689338868473352
28.474250498119517,112.60161041067795,5.630080520533897
35.58333868209684,112.11186049831137,5.60559302491557
44.5972080597078,111.95025877558507,5.5975129387792535
55.95524022289361,111.91048044578721,5.59552402228936
