#swprepost v1.1.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
2.006108901698332,300.9163352547498,15.045816762737495
2.490533314998949,297.64334708138693,14.88216735406935
3.0848975218187475,293.7359691397443,14.686798456987217
3.8103728422967102,289.0656103595995,14.453280517979973
4.685806611793817,283.2212793560185,14.161063967800926
5.718012051704573,275.35892078357864,13.767946039178934
6.878627706389474,263.91766139784073,13.195883069892037
8.114197581597951,248.04175372123385,12.402087686061694
9.430173849622145,229.67381217033162,11.483690608516584
10.954354436513452,212.56469481718324,10.628234740859163
12.843718381849337,198.5672788586252,9.928363942931263
15.181791178242388,187.00468565389966,9.350234282694982
17.94409140855212,176.10168561566064,8.805084280783031
21.09905809039566,164.97482372792498,8.248741186396252
24.89873782730049,155.1116803083003,7.755584015415015
29.79468254605206,147.8830836313237,7.394154181566183
36.289541761161395,143.50723098548937,7.175361549274468
44.83903261262014,141.2736284826063,7.063681424130315
55.89801154891906,140.31813044359288,7.015906522179644
69.9929439355351,139.9858878710702,6.99929439355351
