#swprepost v1.1.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
2.333018502713401,349.9527754070102,17.497638770350513
2.8872439967332846,345.05419455860545,17.252709727930277
3.5580689422395473,338.79012888524886,16.93950644426244
4.361194987464337,330.8525289059986,16.542626445299934
5.3139104246854245,321.1853654127953,16.059268270639766
6.427672845219562,309.53363543225663,15.476681771612832
7.738459344097442,296.9074908676018,14.845374543380089
9.140302083235431,279.40859653322394,13.9704298266612
10.122094635741869,246.52568438415906,12.326284219207956
10.91941245105447,211.88666011249654,10.59433300562483
11.877143679555047,183.62377863991927,9.181188931995964
13.293970338491905,163.75108279744865,8.18755413987243
15.43727672614696,151.50003368207547,7.57500168410377
18.525417962088166,144.85137439252952,7.242568719626476
22.747500345660573,141.71011502279035,7.085505751139517
28.294524448085685,140.43719105908804,7.0218595529544015
35.40556425572921,140.01153614059604,7.000576807029803
44.403519878572624,139.9014654227825,6.995073271139126
55.72402126411015,139.88137087374005,6.994068543687003
69.93952102023925,139.8790420404785,6.993952102023927
