#swprepost v1.1.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
2.111089445653827,316.6634168480741,15.833170842403703
2.558521106968289,305.76856019962065,15.28842800998103
3.0499900748796076,290.41217226015874,14.520608613007935
3.549069558649646,269.24240766983905,13.462120383491955
4.027611381573331,243.43839657552067,12.171919828776035
4.5392098458847485,218.59204091750954,10.929602045875477
5.168681554689032,198.31082690470123,9.915541345235061
5.9924697707564425,183.18295753986197,9.159147876993098
7.055803484654617,171.84553647547745,8.592276823773872
8.351113419049721,162.04988487381667,8.102494243690833
9.825943830825912,151.91168715300506,7.595584357650253
11.503217357821153,141.69313230251322,7.084656615125661
13.564611835419202,133.12187028878975,6.656093514439489
16.270857384974725,127.22282755410313,6.361141377705157
19.877652293479393,123.83182108311765,6.191591054155882
24.616590448582052,122.18211415405973,6.109105707702988
30.72735718281244,121.51153557763683,6.0755767788818416
38.49714448121311,121.29234218914424,6.0646171094572106
48.29730726661856,121.2384425370981,6.061922126854904
60.6146800551365,121.229360110273,6.061468005513651
