#swprepost v1.1.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
3.3920894082333852,508.8134112350079,25.440670561750395
3.8181598232882457,456.30783681995035,22.81539184099752
4.284685124872583,407.9766438630636,20.398832193153183
4.81498500589704,365.2783171641044,18.263915858205223
5.390324338641223,325.80400383818204,16.2902001919091
5.999971940140229,288.93709618472275,14.44685480923614
6.643314035750307,254.88919870137244,12.744459935068623
7.3325586319189995,224.14794365492668,11.207397182746336
8.11225537965358,197.57563837690796,9.878781918845396
9.04626837675736,175.53907789675185,8.776953894837595
10.210242409471896,157.85304469155167,7.892652234577583
11.70600616462045,144.1910231392664,7.20955115696332
13.604311517499536,133.51147936810042,6.675573968405021
15.929391050276916,124.55288142975768,6.227644071487885
18.6608919302833,116.25176840024854,5.812588420012428
21.865851710489725,108.52908307294386,5.426454153647194
25.846425972467284,102.20986108317031,5.110493054158516
31.044195789750077,97.8104550210136,4.890522751050679
37.94436396078117,95.24993938627887,4.762496969313943
46.99543760963042,93.99087521926084,4.699543760963043
