#swprepost v1.1.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
1.8828096998167105,282.42145497250664,14.121072748625332
2.335235367844187,279.08370746217906,13.954185373108952
2.8890758330552004,275.0903340349418,13.754516701747091
3.5643680697162234,270.4029957860371,13.520149789301854
4.380099405357871,264.74360981301584,13.23718049065079
5.347763418527012,257.5290765769761,12.876453828848806
6.414985486773798,246.12873960278392,12.306436980139198
7.443920772118736,227.55215710616642,11.37760785530832
8.380216911703151,204.10189627652167,10.205094813826085
9.438462056495299,183.14943324227934,9.157471662113968
10.84671628228883,167.69309889022304,8.384654944511153
12.833816895138527,158.08305265419514,7.9041526327097555
15.581699668449778,152.9173873391672,7.645869366958361
19.250763161612323,150.52289280442798,7.526144640221402
24.011621859491914,149.58521349100496,7.479260674550248
30.077725574686497,149.28794088429538,7.4643970442147705
37.73338847530296,149.21693228945318,7.4608466144726595
47.356492772654775,149.2053502581648,7.46026751290824
59.43792527358762,149.20420817718826,7.460210408859413
74.60207476320255,149.2041495264051,7.460207476320256
