#swprepost v1.1.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
3.39183293337911,508.7749400068666,25.43874700034333
3.685155193275999,440.4124689420133,22.02062344710066
3.997179763325596,380.60112639138833,19.030056319569415
4.341411357393408,329.35168703611623,16.467584351805808
4.733442006793912,286.1004757531979,14.305023787659897
5.190187902530752,249.94080575237882,12.497040287618944
5.728877360270656,219.80429525982817,10.99021476299141
6.356823203208872,194.32082588125058,9.716041294062531
7.070862489326755,172.21230161318266,8.610615080659136
7.839681058036084,152.12575247801516,7.606287623900759
8.667823215507816,134.00683652199342,6.700341826099671
9.594637662728974,118.18382818050456,5.909191409025228
10.664510398067828,104.66053781192929,5.233026890596465
11.947680526510922,93.41964368143691,4.670982184071845
13.6547867831434,85.06523249795501,4.25326162489775
16.041700114977612,79.62145849431748,3.981072924715874
19.36066200413989,76.56186491816347,3.828093245908174
23.82971123071719,75.07989301064032,3.753994650532015
29.667338365784616,74.47251412657583,3.723625706328792
37.13500630857548,74.27001261715095,3.713500630857548
